date,rating,recipe_id,review,user_id,username
2012-09-11,5,222234,"This recipe was delicious! Instead of cherry pie filling - I used fresh picked cherries (pitted), tossed with cinnamon, corn starch, and sugar. For dough, I didn't have white whole wheat flout, ...",3419993,Pie84
2012-12-25,5,222234,Made this recipe as instructed and it was easy and delicious.Needed a quick dessert for Christmas Day so made again using what ingredients I had on hand.Frozen pie crust dough and canned blu...,3154459,hertzen
2012-11-22,5,222234,This was a great recipe to make using leftover pie crust.I needed a recipe that only used one can of pie filling since I forgot to by enough for a traditional pie. It was a hit and a nice chan...,10370475,suziloo
2015-07-07,5,222234,"Tasty , simple dessert that comes out cute as a button ! Yes you can use all purpose flour in place of the wheat flour . I wanted to use fresh cherries so I followed another users suggestion and...",2304335,Chelsea M.
2016-12-31,5,222234,"Delicious!! I was pressed for time, so I didn't chill the dough at all.Also instead of ice cold orange vodka, I used a tiny bit of orange extract and plain vodka to equal 1 T.For the filling...",1967176,Amanda H.
2017-09-14,5,222234,"This was very delicious. The crust reminded me of making scones. I filled it with a can of sweet cherries. (Cherries only, no added ingredients). Next time, I would use two, to be about the same...",2715707,Sarahtea
2017-07-11,5,222234,"I made cupcake tarts with fresh cherries. First I made a slurry by adding sugar, cornstarch and cinnamon to the cherries.",18161873,Gardener
2016-02-22,5,222234,Great recipe. Easy to make but looks impressive. I made it exactly as it is written. Not too sweet or tart. Thank Chef John.,9115416,Kari BO'B
2018-06-25,2,263516,I don't like the original recipe because it has too much sugar and oil. 2 cups of white sugar is too much. Remember that the carrot and pineapple are already sweet so I reduced the white sugar f...,4804862,asiandelightnyc
2018-04-01,5,263516,I made this for Easter. It. Was. Delicious. I followed exactly as written. But did use vegetable oil in place of the coconut oil.Thanks for sharing!,1793641,Kris
2018-04-02,5,263516,Easter bunny approved! I made some substitutions though... I didn't have enough coconut oil (or any veg oil) so I used 1c melted vegetable shortening with a 1/4c coconut oil. Instead of pineappl...,3382222,Petra Turner
2018-04-03,5,263516,"I made this and used vegetable oil instead of coconut oil, and walnuts instead of pecans. It came out deliciously! It was easy, straight forward, with amazing results!",23549342,Alexandria M
2019-04-13,5,263516,Great Cake! I did use vegetable oil instead of coconut oil. I Brought it to my friends party and got tons of positive feedback! Great texture and taste! It is a must-have!,25434289,Ryan Major
2018-09-21,5,263516,"Followed recipe, but use 1 1/2 c chopped walnuts and no pecans, and 2 1/2 c. shredded carrots Cake was done in 40 min. in glass 13x9 in. pan.Big hit at friends birthday party",7546782,PAM W
2018-08-20,5,263516,I made this recipe as a birthday cake and it was delicious!I added extra cinnamon and nutmeg to the cake batter because I enjoy those flavors and only used 1/2 cup of walnuts because I'm not a...,3902716,Grace Huang
2018-08-11,5,263516,"I don't know what is all the fuss about carrot cake, it never tastes like carrot!!!but this one was a great recipe to try and tasted awesome and it goes to my starred recipes.
thank you chef J...",4996596,zahra sh
2018-04-06,5,263516,"OMG !!!
Was Fantastic I will make this again!!",4094893,Bob O
2019-04-26,5,263516,We loved the taste of this cake!I didn't make any revisions but since I have different size cake pans I made a medium and small cake.We won't use any other carrot cake recipe than this one.,25496597,Heather Slinkard
2019-04-22,5,263516,"This is the BEST recipe for carrot cake I have EVER had!
My entire family LOVED this recipe. I accidentally used a 20 ounce can of pineapple (drained) instead of 8 oz. I also placed the final ba...",25481025,Meghan Donze
2019-01-16,5,263516,"Chef John, you never disappoint!AWESOME!",8780437,glww123
2019-01-04,5,263516,"Really good cake, I doubled the frosting with a little less cream cheese. And I ran out of coconut oil so I used all butter but a little bitless around 1 cup and 2 tablespoons I also used extr...",21451454,cooker11
2018-12-14,5,263516,Added some chopped dried dates,17103703,Seal Catkins
2018-12-13,5,263516,Not bad.I used the cream cheese icing recipe Chef John had posted somewhere else though.I also left out the pecans.I served the cake at a gathering and received a lot of positive feedback....,9777002,SupahMario
2018-11-27,5,263516,Very good cake and extremely moist. Tried to trim top and it crumbled. I highly recommend it,2984033,Peachcake
2018-11-24,5,263516,"This cake is excellent! I made it almost exactly as directed, with these differences because of availability and allergies:
-Substituted canola oil for coconut oil
-Omitted pecans and walnutsT...",4814450,Foodie
2018-11-24,5,263516,"I have a new favorite carrot cake recipe! I make carrot cake for my husband's birthday every year, but I decided to try a new recipe. I've made a few of Chef John's recipes and they've all turne...",730055,Becky 
2018-11-16,5,263516,"I made this recipe as written, only added 3 cups carrot, 1/4c chopped dates, 1/8c finely chopped candied ginger, and just over 1/3c raisins to the batter, and the zest and 1/8 c juice of one ora...",12203459,KatAtomik
2018-06-23,5,263516,I THOUGHT THIS WAS DELISH BUT ADDED 1 CUP COCONUT FLAKES/UNSWEETENEDINTO BATTER.ALSO INCLUDED COCONUT FLAKES ON TOP OF CAKE WITH CHOPPED PECANS. HAVE CHILD WHO LOVES COCONUT. HE HAD 2 SLICES A...,17901819,mary
2018-05-12,5,263516,I did make the recipe with about three cups of carrots and also used more cream cheese for the frosting. It was delicious!,23705420,Courtney Heil
2018-04-29,4,263516,I prepared this cake as Chef John instructed. I thought it was very good and everyone else (3 people) at the picnic where very complimentary...I didn't give it five stars because it was the fi...,8137795,chammialestesatkratpepper
2018-04-01,1,263516,I did not care for this recipe.,10138041,Brian Erica Marthage
2019-05-13,5,272625,Maybe my favorite bread of all time,11446901,resy
2019-05-01,5,272625,It was soooo good.,1543289,Sharon B
2019-04-22,5,272615,love this recipe,25039718,Jeannette Rodriguez Dejesus
2019-04-10,5,272615,Followed the recipe and it was a huge hit. Even my picky 11-year old son loved it. I was shocked! Look forward to making it again.,22934980,AlmaK
2019-04-07,5,272615,I found a sirloin tip roast and used that for the meat.I followed the recipe pretty exactly except I used the pressure cooker then finished it simmering on the stovetop until the sauce had coo...,16746529,"
"
2019-05-12,5,272615,Followed Chef John's recipe and it was excellent ! I did use flank steak and I'm glad I did. Will definitely make again.,25564477,Boggs D
2019-04-14,4,272461,I prepared it with 2% milk and a light cheddar. Was unsure but the magic still worked. Much tastier than box mixes yet totally easy. Will definitely make again. Thank you Chef John!,24992909,Jayne Doe
2019-04-12,5,272461,"It takes a bit more time than Chef John implies (say, 20 minutes) but the results are, as advertised, excellent.The consistency and flavor are perfect (using the cheese combination recommended...",24063414,Spencer
2019-04-26,5,272461,Came out just as expected. Kids helped grating the cheese and asked for seconds!I subbed lactose free 2% milk,21403810,Mimi YuYu
2019-05-08,4,272461,"Great recipe and comes out perfect. However, It’s not one pot as per your recipe so that is misleading. Does not change it take away from the fact this is a solid recipe I will put in my rotatio...",7477786,AtcMickey
2019-05-08,5,272461,"It's great! had looked for a recipe like this before; so glad it was posted. I sorta took my eyes away and the milk boiled over (oops), but still came out perfect:)",22327271,GrillzNSports
2019-05-08,4,272461,"it's like magic how the sauce thickens. My only issue with this recipe is the salt. I'm not a big salt fan, so my review might not help many, but cheese has plenty of salt already. When I make t...",2262693,Michelle O.
2019-04-20,5,272461,"Just simply followed the recipe. It was easy, and it was great.Making it again tonight.",25471830,BobZoom
